fwd_seg_size_avg,pkt_len_std,pkt_len_max,fwd_pkt_len_std,subflow_fwd_byts,pkt_len_var,pkt_size_avg,totlen_fwd_pkts,pkt_len_mean,fwd_pkt_len_mean,capture_id,Label,Attack_Type
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_03,1,c2_beacon
94.8,39.45305070430604,194,49.72886485734417,474,1556.543209876543,82.88888888888889,474,82.88888888888889,94.8,c2_03,1,c2_beacon
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_03,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_03,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_03,1,c2_beacon
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_03,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_03,1,c2_beacon
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_03,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_03,1,c2_beacon
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
372.1,276.5918882837309,675,302.9126771860168,3721,76503.07266435988,246.52941176470588,3721,246.52941176470588,372.1,flood_01,1,dos_flood
